Fact,"Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2019","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",Banned or not
"Delaware County, Ohio","220,740","214,124",3.10%,"214,124","174,214",5.70%,25.30%,14.60%,50.00%,84.70%,4.40%,0.20%,8.50%,0.10%,2.20%,3.00%,82.20%,"9,675",8.00%,"84,176",79.10%,"$336,600","$2,205",$833,"$1,202","2,359","76,549",2.73,88.40%,9.50%,97.90%,95.50%,97.20%,57.10%,5.50%,5.00%,70.40%,64.30%,"582,897","797,836","238,577","4,101,929","$20,392",26,"$116,284","$52,397",4.10%,"4,893","89,828","4,740,171",4.20%,"18,834","3,776","2,168",664,361,"2,856",S,"2,835",483.2,393.2,443.15,443.1,0
"Erie County, Ohio","74,852","75,622",-1.00%,"75,622","77,079",5.20%,20.10%,22.90%,50.90%,86.30%,9.00%,0.30%,0.80%,0.10%,3.50%,4.80%,82.40%,"5,281",1.70%,"38,320",69.70%,"$152,800","$1,195",$497,$814,289,"31,984",2.32,89.40%,3.40%,91.40%,81.60%,91.90%,25.20%,11.00%,7.70%,62.00%,59.30%,"344,313","536,549","107,098","1,243,980","$16,636",20.8,"$60,149","$35,100",12.60%,"1,780","32,736","1,233,289",0.50%,"5,142","1,413",761,182,92,987,S,987,300.9,306.4,251.29,251.56,0
"Fairfield County, Ohio","161,064","158,921",1.30%,"158,921","146,156",5.80%,24.00%,16.10%,50.00%,85.10%,9.80%,0.30%,2.40%,0.10%,2.40%,2.60%,83.20%,"9,315",4.10%,"63,340",75.10%,"$213,500","$1,539",$561,$963,875,"57,841",2.67,88.40%,5.30%,93.30%,87.50%,93.50%,30.20%,9.20%,8.00%,64.10%,60.60%,"252,325","832,730","136,856","1,966,556","$12,711",28.3,"$77,241","$35,481",8.20%,"2,670","36,790","1,395,045",-1.00%,"11,428","2,226","1,265",372,111,"1,775",180,"1,655",315.1,289.8,504.37,504.41,0
"Fayette County, Ohio","28,906","28,951",-0.20%,"28,951","29,030",5.80%,23.70%,18.20%,50.80%,93.50%,2.60%,0.30%,1.20%,Z,2.40%,2.40%,91.60%,"1,424",1.90%,"12,718",64.40%,"$125,000","$1,090",$437,$729,33,"11,471",2.49,88.40%,1.50%,90.40%,83.70%,84.20%,14.70%,15.70%,9.10%,58.10%,51.40%,"61,139","95,611","25,535","611,847","$21,342",26,"$52,964","$27,586",16.30%,562,"9,898","366,763",0.70%,"1,420",534,278,42,S,354,36,332,71.2,71.4,406.36,406.36,0
"Franklin County, Ohio","1,321,414","1,323,807",-0.20%,"1,323,807","1,163,414",6.60%,23.30%,12.70%,50.90%,65.80%,24.40%,0.30%,5.90%,0.10%,3.60%,6.20%,60.80%,"59,227",11.50%,"589,008",53.60%,"$203,200","$1,549",$632,"$1,070","6,652","537,109",2.39,82.20%,14.20%,95.20%,90.90%,91.50%,41.20%,8.40%,9.50%,69.90%,65.50%,"3,728,293","14,875,892","7,905,405","25,665,382","$19,798",22.2,"$65,999","$37,532",14.30%,"29,479","672,835","37,097,059",0.40%,"106,978","20,775","12,663","3,796","2,490","15,558","1,153","16,759","2,486.40","2,186.10",532.42,532.19,0
"Fulton County, Ohio","42,450","42,713",-0.60%,"42,713","42,698",5.70%,23.40%,19.00%,50.00%,96.50%,1.00%,0.50%,0.50%,0.10%,1.50%,9.30%,88.10%,"2,405",1.70%,"17,730",80.50%,"$145,600","$1,198",$465,$768,31,"16,763",2.52,91.70%,4.00%,92.30%,87.10%,93.10%,17.60%,10.70%,8.60%,63.40%,58.30%,"43,799","201,466","61,267","504,346","$11,930",22.5,"$65,418","$31,805",8.10%,938,"15,762","689,737",-2.10%,"2,920",902,562,81,25,767,56,689,105.3,105.3,405.45,405.44,0
"Gallia County, Ohio","29,158","29,220",-0.20%,"29,220","30,934",6.10%,23.30%,19.50%,50.30%,94.20%,2.40%,0.50%,0.70%,0.30%,2.00%,1.40%,93.10%,"1,342",1.10%,"13,440",76.70%,"$120,500","$1,200",$435,$718,14,"11,292",2.53,91.00%,3.60%,82.90%,74.40%,85.10%,17.20%,15.00%,9.00%,52.90%,47.10%,"50,266","325,771","18,605","392,873","$13,028",27.8,"$50,773","$26,484",18.00%,542,"9,209","362,594",-3.60%,"1,683",347,S,S,S,S,26,S,62.6,66.3,466.53,466.53,0
"Geauga County, Ohio","95,565","95,397",0.20%,"95,397","93,389",5.30%,22.50%,21.50%,49.80%,96.70%,1.30%,0.20%,0.70%,Z,1.10%,1.80%,95.10%,"4,731",2.50%,"37,540",87.20%,"$259,900","$1,757",$652,$895,191,"35,249",2.68,92.40%,12.30%,90.30%,85.40%,90.60%,38.40%,5.70%,10.00%,65.10%,58.30%,"126,711","495,587","149,078","1,504,254","$16,021",28.1,"$90,285","$45,199",6.20%,"2,711","29,806","1,294,357",-0.80%,"10,957","2,382","1,373",480,57,"2,104",S,"2,019",238.3,233.4,400.3,400.16,0
"Greene County, Ohio","168,412","167,966",0.30%,"167,966","161,573",5.30%,20.70%,18.00%,50.30%,85.70%,7.40%,0.30%,3.10%,0.10%,3.40%,3.20%,83.10%,"15,148",4.90%,"71,889",66.80%,"$190,200","$1,510",$582,$938,685,"66,279",2.39,84.00%,5.90%,94.40%,90.70%,94.00%,41.10%,8.80%,6.70%,60.90%,55.90%,"414,215","788,555","87,846","2,591,446","$15,544",21.3,"$75,901","$38,882",10.30%,"3,255","55,902","2,730,534",-1.30%,"10,704","2,595","1,468",454,242,"1,870",222,"1,878",406.1,390.5,413.56,413.73,0
"Guernsey County, Ohio","38,287","38,438",-0.40%,"38,438","40,087",5.60%,22.10%,20.30%,49.90%,95.40%,1.70%,0.40%,0.50%,Z,2.10%,1.30%,94.30%,"2,773",1.00%,"19,041",71.90%,"$126,500","$1,072",$425,$731,26,"16,136",2.36,87.60%,4.30%,87.80%,78.60%,85.90%,14.80%,13.00%,10.50%,55.40%,50.70%,"77,578","302,172","172,194","532,266","$13,621",22.6,"$48,434","$26,716",15.20%,819,"13,504","519,565",-1.40%,"2,243",736,S,21,S,S,88,S,73.6,76.8,522.25,522.25,0
"Hamilton County, Ohio","826,139","830,639",-0.50%,"830,639","802,374",6.30%,23.00%,16.10%,51.40%,67.30%,26.60%,0.30%,3.00%,0.10%,2.70%,3.90%,64.30%,"39,032",5.90%,"380,401",58.70%,"$172,800","$1,460",$604,$875,"1,922","345,878",2.34,84.30%,7.40%,92.70%,88.40%,91.90%,39.60%,8.80%,6.70%,66.70%,62.90%,"2,445,265","11,839,285","2,248,866","13,273,606","$16,293",23.4,"$63,080","$38,902",15.70%,"20,772","493,248","30,753,058",-1.00%,"62,412","15,272","9,219","2,735","1,150","11,949",846,"12,077","2,048.90","1,976.70",405.41,405.91,0
"Hancock County, Ohio","74,656","74,920",-0.40%,"74,920","74,782",5.70%,21.90%,18.10%,50.10%,93.10%,2.20%,0.40%,2.20%,Z,2.00%,6.20%,87.80%,"4,554",3.40%,"33,908",69.60%,"$157,300","$1,225",$480,$792,121,"31,164",2.35,86.20%,5.20%,93.70%,88.00%,93.40%,28.00%,7.70%,8.00%,64.90%,59.60%,"205,867","579,048","255,383","1,244,340","$16,376",18,"$60,828","$34,532",10.00%,"1,652","44,318","2,240,851",0.20%,"4,513","1,453",764,247,S,"1,119",S,"1,063",141,140.7,531.33,531.36,1
"Hardin County, Ohio","30,621","30,696",-0.20%,"30,696","32,058",6.10%,23.50%,16.20%,50.00%,95.80%,1.10%,0.30%,0.90%,0.10%,1.80%,2.20%,94.10%,"1,707",2.10%,"12,904",71.60%,"$114,600","$1,106",$408,$710,24,"11,557",2.46,84.90%,7.00%,89.80%,82.30%,90.50%,16.40%,10.40%,10.60%,59.10%,54.20%,"32,092","61,677",D,"220,473","$7,035",22.9,"$52,112","$25,057",16.90%,426,"6,693","230,333",-5.00%,"1,485",341,164,S,S,241,S,235,65.3,68.1,470.29,470.41,0
"Harrison County, Ohio","14,477","14,483",0.00%,"14,483","15,864",5.00%,21.00%,22.10%,50.10%,95.30%,2.10%,0.30%,0.30%,Z,2.00%,1.30%,94.30%,974,0.70%,"7,378",77.30%,"$101,600",$962,$398,$608,X,"5,748",2.5,93.40%,4.00%,83.30%,78.30%,88.40%,12.20%,13.20%,10.00%,50.70%,43.90%,"8,982","39,365","64,414","87,123","$5,731",30.4,"$51,993","$27,455",14.10%,260,"2,904","126,688",-6.10%,868,176,90,35,S,139,S,119,36,39.4,402.33,402.34,0
"Henry County, Ohio","27,538","27,662",-0.40%,"27,662","28,215",5.80%,23.20%,19.40%,50.10%,96.80%,0.80%,0.50%,0.60%,Z,1.30%,7.90%,89.60%,"2,045",1.40%,"12,063",78.30%,"$138,100","$1,141",$481,$785,19,"11,040",2.46,90.80%,4.20%,91.70%,87.50%,93.60%,17.70%,9.90%,8.30%,63.80%,59.50%,"27,508","89,591","103,506","250,781","$9,224",22.7,"$64,513","$31,671",8.90%,558,"8,089","371,113",0.80%,"1,647",546,347,73,S,449,S,453,66.5,67.8,416.01,416.01,0
