,Fact,Population EstimatesJuly 1 2021(),Persons under 5 years,Persons under 18 years,Persons 65 years and over,Female persons,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Two or More Races,Hispanic or Latino,White alonenot Hispanic or Latino,Veterans2017-2021,Foreign born persons2017-2021,Banned or not
53,Mercer County Ohio,42309,3215.4839999999995,11127.267,8038.71,20858.337,40785.876000000004,211.545,126.92699999999999,253.85399999999998,380.781,550.017,803.8709999999999,40151.241,2087,676.9440000000001,0.0
54,Miami County Ohio,109264,6228.048000000001,25239.984000000004,20978.688,55069.056,101506.25600000001,2950.1280000000006,218.52800000000002,1966.7520000000002,,2513.0719999999997,2185.28,99648.76800000001,6858,3387.184,0.0
55,Monroe County Ohio,13329,653.1210000000001,2732.445,3158.973,6557.868,12969.117,93.303,26.658,26.658,,213.264,93.303,12889.143,885,79.97399999999999,0.0
56,Montgomery County Ohio,535840,31614.56,118420.64,98058.72,276493.44,387948.16,116277.28,1607.52,12860.16,535.84,16611.04,19290.24,372408.8,37254,26792.0,0.0
57,Morgan County Ohio,13682,670.418,2818.492,3051.0860000000002,6813.6359999999995,12628.485999999999,410.46,54.728,27.364,,547.28,136.82,12546.394000000002,786,54.728,0.0
58,Morrow County Ohio,35151,1933.305,7768.371000000001,6502.935,17434.896,34026.168,316.35900000000004,105.45299999999999,175.755,,562.416,632.7180000000001,33498.903,2214,386.66100000000006,0.0
59,Muskingum County Ohio,86408,5098.072,19614.615999999998,15899.072,44154.488,79408.952,3369.9120000000003,259.224,518.448,,2765.0560000000005,1123.304,78631.28,5328,432.04,0.0
60,Noble County Ohio,14176,708.8,2665.0879999999997,4068.512,5712.927999999999,13438.848,467.80799999999994,56.70400000000001,42.528,,170.112,113.40800000000002,13353.792,1060,85.056,0.0
61,Ottawa County Ohio,40104,1644.264,7218.72,10587.455999999998,20052.0,38740.464,441.144,120.31199999999998,160.416,,641.664,2165.616,36815.471999999994,3183,481.24799999999993,0.0
62,Paulding County Ohio,18871,1151.1309999999999,4547.911,3623.232,9435.5,18191.644,226.452,94.355,56.613,,283.065,981.2919999999999,17380.191,1167,264.19399999999996,0.0
