County Name,"Population Estimates, July 1 2021, (V2021)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
Fairfield County Ohio,161064,9341.71,38655.36,25931.3,80532.0,137065.46,15784.27,483.19,3865.54,161.06,3865.54,4187.66,134005.25,9315,6603.62,63340,75.1,213500,1539,561,963,875.0,57841,2.67,142380.58,8536.39,150272.71,140931.0,150594.84,48641.33,14817.89,12885.12,103242.02,97604.78,12711,28.3,77241,35481,13207.25,2670,36790,1395045,315.1,504.37,0.0
Fayette County Ohio,28906,1676.55,6850.72,5260.89,14684.25,27027.11,751.56,86.72,346.87,,693.74,693.74,26477.9,1424,549.21,12718,64.4,125000,1090,437,729,33.0,11471,2.49,25552.9,433.59,26131.02,24194.32,24338.85,4249.18,4538.24,2630.45,16794.39,14857.68,21342,26.0,52964,27586,4711.68,562,9898,366763,71.2,406.36,0.0
Franklin County Ohio,1321414,87213.32,307889.46,167819.58,672599.73,869490.41,322425.02,3964.24,77963.43,1321.41,47570.9,81927.67,803419.71,59227,151962.61,589008,53.6,203200,1549,632,1070,6652.0,537109,2.39,1086202.31,187640.79,1257986.13,1201165.33,1209093.81,544422.57,110998.78,125534.33,923668.39,865526.17,19798,22.2,65999,37532,188962.2,29479,672835,37097059,2486.4,532.42,0.0
Fulton County Ohio,42450,2419.65,9933.3,8065.5,21225.0,40964.25,424.5,212.25,212.25,42.45,636.75,3947.85,37398.45,2405,721.65,17730,80.5,145600,1198,465,768,31.0,16763,2.52,38926.65,1698.0,39181.35,36973.95,39520.95,7471.2,4542.15,3650.7,26913.3,24748.35,11930,22.5,65418,31805,3438.45,938,15762,689737,105.3,405.45,0.0
Gallia County Ohio,29158,1778.64,6793.81,5685.81,14666.47,27466.84,699.79,145.79,204.11,87.47,583.16,408.21,27146.1,1342,320.74,13440,76.7,120500,1200,435,718,14.0,11292,2.53,26533.78,1049.69,24171.98,21693.55,24813.46,5015.18,4373.7,2624.22,15424.58,13733.42,13028,27.8,50773,26484,5248.44,542,9209,362594,62.6,466.53,0.0
Geauga County Ohio,95565,5064.94,21502.12,20546.47,47591.37,92411.36,1242.34,191.13,668.96,,1051.22,1720.17,90882.32,4731,2389.12,37540,87.2,259900,1757,652,895,191.0,35249,2.68,88302.06,11754.5,86295.2,81612.51,86581.89,36696.96,5447.2,9556.5,62212.81,55714.4,16021,28.1,90285,45199,5925.03,2711,29806,1294357,238.3,400.3,0.0
Greene County Ohio,168412,8925.84,34861.28,30314.16,84711.24,144329.08,12462.49,505.24,5220.77,168.41,5726.01,5389.18,139950.37,15148,8252.19,71889,66.8,190200,1510,582,938,685.0,66279,2.39,141466.08,9936.31,158980.93,152749.68,158307.28,69217.33,14820.26,11283.6,102562.91,94142.31,15544,21.3,75901,38882,17346.44,3255,55902,2730534,406.1,413.56,0.0
Guernsey County Ohio,38287,2144.07,8461.43,7772.26,19105.21,36525.8,650.88,153.15,191.44,,804.03,497.73,36104.64,2773,382.87,19041,71.9,126500,1072,425,731,26.0,16136,2.36,33539.41,1646.34,33615.99,30093.58,32888.53,5666.48,4977.31,4020.14,21211.0,19411.51,13621,22.6,48434,26716,5819.62,819,13504,519565,73.6,522.25,0.0
Hamilton County Ohio,826139,52046.76,190011.97,133008.38,424635.45,555991.55,219752.97,2478.42,24784.17,826.14,22305.75,32219.42,531207.38,39032,48742.2,380401,58.7,172800,1460,604,875,1922.0,345878,2.34,696435.18,61134.29,765830.85,730306.88,759221.74,327151.04,72700.23,55351.31,551034.71,519641.43,16293,23.4,63080,38902,129703.82,20772,493248,30753058,2048.9,405.41,0.0
Hancock County Ohio,74656,4255.39,16349.66,13512.74,37402.66,69504.74,1642.43,298.62,1642.43,,1493.12,4628.67,65547.97,4554,2538.3,33908,69.6,157300,1225,480,792,121.0,31164,2.35,64353.47,3882.11,69952.67,65697.28,69728.7,20903.68,5748.51,5972.48,48451.74,44494.98,16376,18.0,60828,34532,7465.6,1652,44318,2240851,141.0,531.33,1.0
Hardin County Ohio,30621,1867.88,7195.94,4960.6,15310.5,29334.92,336.83,91.86,275.59,30.62,551.18,673.66,28814.36,1707,643.04,12904,71.6,114600,1106,408,710,24.0,11557,2.46,25997.23,2143.47,27497.66,25201.08,27712.0,5021.84,3184.58,3245.83,18097.01,16596.58,7035,22.9,52112,25057,5174.95,426,6693,230333,65.3,470.29,0.0
Harrison County Ohio,14477,723.85,3040.17,3199.42,7252.98,13796.58,304.02,43.43,43.43,,289.54,188.2,13651.81,974,101.34,7378,77.3,101600,962,398,608,,5748,2.5,13521.52,579.08,12059.34,11335.49,12797.67,1766.19,1910.96,1447.7,7339.84,6355.4,5731,30.4,51993,27455,2041.26,260,2904,126688,36.0,402.33,0.0
Henry County Ohio,27538,1597.2,6388.82,5342.37,13796.54,26656.78,220.3,137.69,165.23,,357.99,2175.5,24674.05,2045,385.53,12063,78.3,138100,1141,481,785,19.0,11040,2.46,25004.5,1156.6,25252.35,24095.75,25775.57,4874.23,2726.26,2285.65,17569.24,16385.11,9224,22.7,64513,31671,2450.88,558,8089,371113,66.5,416.01,0.0
Highland County Ohio,43354,2731.3,10318.25,8193.91,21850.42,41446.42,693.66,173.42,216.77,,823.73,606.96,41012.88,2830,346.83,18977,71.6,126200,1092,396,704,71.0,16526,2.58,38628.41,1387.33,37241.09,33556.0,36287.3,6112.91,5852.79,4465.46,25232.03,23281.1,10160,28.5,52376,24980,6026.21,676,8371,334403,78.3,553.08,0.0
Hocking County Ohio,28097,1489.14,6097.05,5563.21,14048.5,27169.8,224.78,112.39,140.49,,421.46,337.16,26916.93,1676,140.49,12994,78.3,144000,1180,446,701,12.0,11240,2.47,25680.66,533.84,25483.98,23517.19,24753.46,4158.36,3652.61,2444.44,16492.94,15003.8,8363,29.8,56755,27714,4636.0,482,5340,158449,66.6,421.35,0.0
Holmes County Ohio,44271,3718.76,13502.66,6242.21,21914.14,43562.66,177.08,44.27,132.81,44.27,309.9,442.71,43208.5,1081,177.08,14578,77.7,231200,1348,455,700,4.0,13200,3.28,40817.86,21914.14,30414.18,26739.68,25057.39,4648.46,1992.2,12572.96,28776.15,22046.96,14652,21.9,69454,26999,4471.37,1332,18805,766913,104.6,422.61,0.0
Huron County Ohio,58367,3502.02,13891.35,10564.43,29241.87,55973.95,875.5,175.1,233.47,,1050.61,4085.69,52296.83,3285,700.4,25507,72.0,133600,1110,452,750,142.0,23288,2.48,52238.46,2217.95,53055.6,48678.08,52530.3,8755.05,6887.31,4961.2,36012.44,33035.72,11764,22.6,59049,28145,6537.1,1081,18620,831402,119.0,492.24,0.0
Jackson County Ohio,32511,1983.17,7770.13,5819.47,16418.06,31438.14,227.58,130.04,130.04,,585.2,357.62,31113.03,2198,195.07,14512,75.0,111400,1106,421,685,51.0,12361,2.6,29650.03,780.26,28252.06,25716.2,28414.61,4909.16,5299.29,2828.46,18791.36,17328.36,11664,27.1,50983,25843,5754.45,607,8478,296472,77.7,420.31,0.0
Jefferson County Ohio,64789,3304.24,12763.43,14383.16,33042.39,59087.57,3563.4,129.58,388.73,,1619.72,1166.2,58180.52,4649,842.26,31081,70.9,102800,1055,429,694,6.0,26776,2.37,58180.52,1295.78,55070.65,52997.4,60059.4,11856.39,8163.41,4729.6,35763.53,33495.91,12668,23.3,49211,28207,11143.71,1188,18549,702650,159.9,408.12,0.0
Knox County Ohio,62897,3710.92,14403.41,11824.64,31762.98,60695.6,628.97,188.69,377.38,,943.46,1132.15,59752.15,4132,817.66,25920,72.6,168700,1267,467,826,351.0,22908,2.57,55412.26,3270.64,57299.17,53651.14,57676.55,14277.62,6038.11,5660.73,37926.89,35033.63,10155,27.5,64439,29383,7862.12,1095,18357,733504,119.4,525.5,1.0
Lake County Ohio,232023,11137.1,45244.48,48956.85,118099.71,210908.91,12297.22,464.05,3712.37,,4640.46,11601.15,200931.92,14005,12993.29,105937,74.5,166200,1349,560,952,775.0,98217,2.34,206732.49,19025.89,216013.41,207892.61,215781.39,67054.65,20186.0,18329.82,151743.04,142462.12,16320,23.8,70168,37586,16241.61,5498,86083,4245635,1014.5,229.27,0.0
Lawrence County Ohio,57445,3044.58,12465.56,11086.88,29296.95,54687.64,1263.79,172.34,287.23,,1034.01,574.45,54228.08,3967,517.0,26519,72.1,112200,1090,435,759,16.0,22608,2.56,52045.17,631.9,49862.26,45841.11,51068.6,9708.2,10454.99,4595.6,30158.62,28148.05,9691,22.7,48947,25754,9880.54,791,10304,361227,128.5,453.39,0.0
Licking County Ohio,180401,10463.26,41492.23,30848.57,91102.5,161098.09,7937.64,721.6,5953.23,180.4,4690.43,4149.22,157670.47,12598,5953.23,73008,73.4,195100,1472,527,894,363.0,66342,2.62,157490.07,8118.04,169035.74,162000.1,167412.13,51594.69,20565.71,13530.08,113291.83,106256.19,14373,27.0,72771,35931,19844.11,3022,56800,2444812,261.6,682.43,0.0
Logan County Ohio,46035,2624.0,10542.02,8792.69,23109.57,43411.0,920.7,138.1,414.32,46.04,1104.84,966.74,42582.38,2873,598.46,23789,75.8,148600,1167,489,740,126.0,18928,2.41,40787.01,1242.95,42628.41,40418.73,42720.48,8240.26,4465.39,3498.66,28219.46,26378.06,11151,22.1,64196,32868,4649.54,808,16703,789601,100.7,458.51,1.0
Lorain County Ohio,315595,17042.13,68799.71,60594.24,159059.88,270780.51,28403.55,1262.38,4733.92,315.6,10414.64,34084.26,243323.74,18562,8836.66,135686,72.5,164600,1368,542,821,1127.0,123500,2.45,282141.93,21144.86,293187.76,260365.88,286875.86,82054.7,30612.72,23669.62,190619.38,182098.32,12604,24.8,62390,33799,40396.16,5483,85777,3665272,638.0,490.54,0.0
Lucas County Ohio,429191,26180.65,99143.12,73391.66,220604.17,315884.58,87984.16,1716.76,7725.44,429.19,15450.88,33476.9,289274.73,20910,16309.26,200856,61.2,127900,1261,499,803,460.0,179358,2.35,367816.69,27468.22,394855.72,369962.64,387130.28,118027.52,50215.35,32618.52,271248.71,255368.64,15002,20.6,53176,31632,74679.23,9297,188890,9467561,1269.7,339.66,0.0
Madison County Ohio,44386,2263.69,9010.36,7146.15,20151.24,39814.24,2885.09,177.54,665.79,,798.95,1198.42,38793.36,2666,665.79,16359,73.8,173400,1372,508,870,89.0,15181,2.55,37772.49,1864.21,40701.96,38793.36,39237.22,8877.2,4838.07,3284.56,25166.86,26675.99,39612,24.9,72811,31493,5947.72,687,15459,687596,94.1,465.81,0.0
Mahoning County Ohio,226762,12018.39,45579.16,49434.12,114514.81,181636.36,36281.92,680.29,2040.86,226.76,5895.81,15873.34,169844.74,13771,4988.76,107973,69.8,114600,1120,438,706,194.0,97293,2.29,200457.61,14059.24,203405.51,191613.89,207260.47,56463.74,26531.15,19274.77,136510.72,129707.86,16442,22.3,50750,30421,43765.07,5295,84892,3327818,555.6,411.49,0.0
Marion County Ohio,65291,3656.3,13906.98,12078.84,30490.9,58696.61,4374.5,195.87,391.75,65.29,1501.69,2024.02,57129.62,4542,1044.66,27357,67.3,114800,1074,426,782,49.0,24251,2.47,55693.22,3003.39,59545.39,55627.93,58696.61,8553.12,9140.74,4962.12,34669.52,34277.78,12471,23.4,51144,26823,10315.98,1094,22275,918875,161.9,403.81,0.0
Medina County Ohio,183092,8971.51,39730.96,34970.57,91912.18,174303.58,2929.47,366.18,2563.29,,2746.38,4760.39,170275.56,9712,5492.76,75697,79.8,219900,1540,569,958,463.0,71360,2.52,166613.72,7872.96,174852.86,164782.8,174120.49,64082.2,13182.62,11351.7,123587.1,113883.22,17492,27.2,82894,41100,11168.61,3978,54701,2461886,432.9,421.46,1.0
Meigs County Ohio,22049,1080.4,4630.29,4630.29,11046.55,21409.58,220.49,66.15,66.15,,286.64,198.44,21255.24,1313,66.15,10664,77.5,100300,1010,382,639,6.0,8719,2.54,19932.3,264.59,18366.82,15742.99,18763.7,2734.08,3549.89,2050.56,11068.6,10120.49,8072,32.3,44113,24812,4652.34,313,2571,73632,51.6,430.1,0.0
Mercer County Ohio,42309,3215.48,11127.27,8038.71,20858.34,40785.88,211.54,126.93,253.85,380.78,550.02,803.87,40151.24,2087,676.94,18013,79.6,169500,1197,473,679,85.0,15923,2.61,37993.48,888.49,38966.59,37697.32,39305.06,8631.04,2580.85,3173.18,29320.14,27754.7,13410,19.1,68692,32528,3088.56,1027,16352,663713,92.0,462.45,0.0
Miami County Ohio,109264,6228.05,25239.98,20978.69,55069.06,101506.26,2950.13,218.53,1966.75,,2513.07,2185.28,99648.77,6858,3387.18,46998,73.0,165600,1238,478,832,307.0,43279,2.47,96261.58,4261.3,101615.52,97026.43,101834.05,26551.15,8413.33,7539.22,70803.07,63263.86,13469,21.6,66284,34178,8959.65,2112,37222,1593764,267.6,406.52,0.0
Monroe County Ohio,13329,653.12,2732.44,3158.97,6557.87,12969.12,93.3,26.66,26.66,,213.26,93.3,12889.14,885,79.97,7132,78.6,115500,980,366,584,1.0,5565,2.4,12475.94,226.59,11129.72,9943.43,11969.44,1679.45,1706.11,1346.23,6744.47,5731.47,5400,33.7,50503,30569,1892.72,263,1820,60937,29.4,455.72,0.0
Montgomery County Ohio,535840,31614.56,118420.64,98058.72,276493.44,387948.16,116277.28,1607.52,12860.16,535.84,16611.04,19290.24,372408.8,37254,26792.0,252095,62.0,133400,1255,515,849,1047.0,226199,2.29,445818.88,33222.08,492972.8,467788.32,487614.4,156465.28,59478.24,44474.72,331684.96,309715.52,15868,22.1,56543,32692,81447.68,10960,236680,11710997,1164.6,461.35,0.0
Morgan County Ohio,13682,670.42,2818.49,3051.09,6813.64,12628.49,410.46,54.73,27.36,,547.28,136.82,12546.39,786,54.73,7286,77.1,103500,993,361,641,55.0,5629,2.45,12519.03,164.18,11424.47,10165.73,11588.65,1491.34,2107.03,1286.11,6909.41,6827.32,4056,35.5,44848,23497,2243.85,158,2206,77860,33.1,416.43,0.0
Morrow County Ohio,35151,1933.3,7768.37,6502.94,17434.9,34026.17,316.36,105.45,175.76,,562.42,632.72,33498.9,2214,386.66,14584,80.6,163300,1307,461,851,150.0,13048,2.65,32198.32,2284.82,32233.47,29737.75,31284.39,5272.65,4007.21,3374.5,22461.49,21055.45,5005,30.6,63411,30352,3972.06,408,4020,131238,86.1,406.13,0.0
Muskingum County Ohio,86408,5098.07,19614.62,15899.07,44154.49,79408.95,3369.91,259.22,518.45,,2765.06,1123.3,78631.28,5328,432.04,38337,70.3,132800,1140,411,719,21.0,33970,2.48,75952.63,2160.2,76298.26,72755.54,77594.38,15726.26,8986.43,6912.64,51585.58,47697.22,15450,25.0,52224,28877,13652.46,1667,27960,1201764,130.0,664.55,0.0
