,Bachelor's degree or higher of persons age 25 years+,"With a disability, under age 65 years","Persons without health insurance, under age 65 years","In civilian labor force, total of population age 16 years+","In civilian labor force, female of population age 16 years+","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+",Median household income (in 2021 dollars),Per capita income in past 12 months (in 2021 dollars),Persons in poverty,"Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not,Fact
51,64082.2,13182.624000000002,11351.704000000002,123587.1,113883.224,17492,27.2,82894,41100,11168.612,3978,54701,2461886,432.9,421.46,1.0,Medina County Ohio
52,2734.0760000000005,3549.889,2050.5570000000002,11068.598,10120.491,8072,32.3,44113,24812,4652.339,313,2571,73632,51.6,430.1,0.0,Meigs County Ohio
53,8631.036,2580.849,3173.175,29320.137,27754.703999999998,13410,19.1,68692,32528,3088.5570000000002,1027,16352,663713,92.0,462.45,0.0,Mercer County Ohio
54,26551.152000000002,8413.328000000001,7539.216000000001,70803.07199999999,63263.856,13469,21.6,66284,34178,8959.648,2112,37222,1593764,267.6,406.52,0.0,Miami County Ohio
55,1679.454,1706.112,1346.229,6744.474,5731.47,5400,33.7,50503,30569,1892.7179999999998,263,1820,60937,29.4,455.72,0.0,Monroe County Ohio
56,156465.28,59478.24,44474.72,331684.96,309715.52,15868,22.1,56543,32692,81447.68,10960,236680,11710997,1164.6,461.35,0.0,Montgomery County Ohio
57,1491.3380000000002,2107.0280000000002,1286.108,6909.41,6827.317999999999,4056,35.5,44848,23497,2243.848,158,2206,77860,33.1,416.43,0.0,Morgan County Ohio
58,5272.65,4007.2140000000004,3374.4959999999996,22461.488999999998,21055.449,5005,30.6,63411,30352,3972.0630000000006,408,4020,131238,86.1,406.13,0.0,Morrow County Ohio
59,15726.256,8986.432,6912.64,51585.57600000001,47697.21600000001,15450,25.0,52224,28877,13652.464000000002,1667,27960,1201764,130.0,664.55,0.0,Muskingum County Ohio
60,1715.296,1644.4160000000002,1318.3680000000002,5301.8240000000005,6464.255999999999,5632,25.6,46144,26411,2310.688,219,1903,55417,35.5,398.01,0.0,Noble County Ohio
61,10427.04,3288.528,3368.7360000000003,23180.111999999997,21776.471999999998,10889,25.0,64463,40728,3368.7360000000003,1014,9878,451384,158.5,254.7,0.0,Ottawa County Ohio
62,3057.1020000000003,2472.101,1679.519,10945.18,9831.791,7269,23.8,59987,30831,1943.7130000000002,298,4045,141660,45.2,416.44,0.0,Paulding County Ohio
63,4751.64,5319.0,3085.02,19680.3,18687.42,5334,32.1,58616,26299,4928.94,437,4442,150303,86.8,407.93,0.0,Perry County Ohio
64,11629.268,6645.295999999999,4093.9770000000003,32989.148,32989.148,8044,28.7,63629,30342,6051.965999999999,783,10411,425955,116.8,501.23,0.0,Pickaway County Ohio
65,3982.083,5011.465,2329.654,13490.322,12650.563,10055,28.5,44961,26568,5201.088,402,7184,352191,61.5,440.28,0.0,Pike County Ohio
66,48876.982,14289.616000000002,13477.706,106360.21,99540.166,14668,25.2,64163,34290,20135.368000000002,2958,47923,2049113,331.9,487.41,0.0,Portage County Ohio
67,7519.527999999999,4291.035,3024.158,25133.205,22640.318,9414,26.3,60527,31040,4495.37,664,9668,444669,96.6,424.23,0.0,Preble County Ohio
68,8510.864,1887.49,2711.1220000000003,23027.377999999997,21414.431999999997,8558,22.4,73122,33676,2436.578,729,9933,398620,71.4,482.54,0.0,Putnam County Ohio
69,22284.71,15148.595,11142.355,71110.76,68982.445,13626,22.4,52605,27534,16776.13,2606,39890,1479026,252.3,495.23,0.0,Richland County Ohio
70,12994.579,10764.74,6228.170999999999,41136.685,41213.576,14604,26.8,54004,27086,14532.399,1233,22077,953471,111.9,689.17,0.0,Ross County Ohio
71,10627.415,6869.655,5108.204999999999,35992.295,32821.685,11573,19.4,56414,29904,7691.665,1273,22041,942599,144.3,408.25,0.0,Sandusky County Ohio
72,12028.743999999999,13642.356000000002,5794.334,34105.89,33079.046,12246,27.1,43266,23958,17529.694,1240,19183,721708,121.3,610.15,0.0,Scioto County Ohio
73,9163.607,4173.999,3502.321,32528.406000000003,30369.441000000003,10067,18.7,66536,31861,5133.539,964,24765,1287376,118.3,407.69,0.0,Shelby County Ohio
74,88224.82400000001,36261.898,28411.384,231777.08,212711.54599999997,14450,21.6,58170,31765,47850.752,8005,143048,5849718,651.6,575.27,0.0,Stark County Ohio
