,Fact,"Population Estimates, July 1 2021, (V2021)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
21,Erie County Ohio,74852,3892.304,15045.252000000002,17141.107999999997,38099.668,64597.276,6736.68,224.55599999999998,598.816,74.852,2619.82,3592.8959999999997,61678.04800000001,5281,1272.484,38320,69.7,152800,1195,497,814,289.0,31984,2.32,66917.68800000001,2544.968,68414.728,61079.23199999999,68788.98800000001,18862.703999999998,8233.72,5763.604,46408.24,44387.236,16636,20.8,60149,35100,9431.351999999999,1780,32736,1233289,300.9,251.29,0.0
22,Fairfield County Ohio,161064,9341.712,38655.36,25931.304000000004,80532.0,137065.46399999998,15784.272000000003,483.19199999999995,3865.5359999999996,161.06400000000002,3865.5359999999996,4187.664000000001,134005.24800000002,9315,6603.623999999999,63340,75.1,213500,1539,561,963,875.0,57841,2.67,142380.576,8536.392,150272.712,140931.0,150594.84,48641.328,14817.887999999999,12885.12,103242.02399999999,97604.784,12711,28.3,77241,35481,13207.247999999998,2670,36790,1395045,315.1,504.37,0.0
23,Fayette County Ohio,28906,1676.5479999999998,6850.722,5260.892,14684.247999999998,27027.11,751.556,86.71799999999999,346.87199999999996,,693.7439999999999,693.7439999999999,26477.895999999997,1424,549.2139999999999,12718,64.4,125000,1090,437,729,33.0,11471,2.49,25552.904000000002,433.59,26131.024000000005,24194.322,24338.852000000003,4249.182,4538.241999999999,2630.446,16794.386000000002,14857.684,21342,26.0,52964,27586,4711.678000000001,562,9898,366763,71.2,406.36,0.0
24,Franklin County Ohio,1321414,87213.32400000001,307889.462,167819.578,672599.7259999999,869490.412,322425.016,3964.242,77963.426,1321.414,47570.904,81927.668,803419.712,59227,151962.61,589008,53.6,203200,1549,632,1070,6652.0,537109,2.39,1086202.308,187640.788,1257986.128,1201165.3260000001,1209093.81,544422.5680000001,110998.776,125534.33,923668.386,865526.17,19798,22.2,65999,37532,188962.202,29479,672835,37097059,2486.4,532.42,0.0
25,Fulton County Ohio,42450,2419.65,9933.3,8065.5,21225.0,40964.25,424.5,212.25,212.25,42.45,636.75,3947.8500000000004,37398.45,2405,721.65,17730,80.5,145600,1198,465,768,31.0,16763,2.52,38926.65,1698.0,39181.35,36973.95,39520.95,7471.200000000001,4542.15,3650.7,26913.3,24748.35,11930,22.5,65418,31805,3438.45,938,15762,689737,105.3,405.45,0.0
26,Gallia County Ohio,29158,1778.638,6793.814,5685.81,14666.473999999998,27466.836,699.7919999999999,145.79,204.106,87.47399999999999,583.16,408.212,27146.097999999998,1342,320.73800000000006,13440,76.7,120500,1200,435,718,14.0,11292,2.53,26533.78,1049.688,24171.982000000004,21693.552000000003,24813.458,5015.1759999999995,4373.7,2624.22,15424.582,13733.418,13028,27.8,50773,26484,5248.44,542,9209,362594,62.6,466.53,0.0
27,Geauga County Ohio,95565,5064.945,21502.125,20546.475,47591.37,92411.355,1242.345,191.13,668.955,,1051.2150000000001,1720.17,90882.315,4731,2389.125,37540,87.2,259900,1757,652,895,191.0,35249,2.68,88302.06,11754.495,86295.195,81612.51000000001,86581.89,36696.96,5447.205,9556.5,62212.81499999999,55714.395,16021,28.1,90285,45199,5925.03,2711,29806,1294357,238.3,400.3,0.0
28,Greene County Ohio,168412,8925.836,34861.284,30314.16,84711.23599999999,144329.084,12462.488000000001,505.236,5220.772,168.412,5726.007999999999,5389.184,139950.372,15148,8252.188,71889,66.8,190200,1510,582,938,685.0,66279,2.39,141466.08,9936.308,158980.928,152749.684,158307.28,69217.332,14820.256000000001,11283.604000000001,102562.908,94142.30799999999,15544,21.3,75901,38882,17346.436,3255,55902,2730534,406.1,413.56,0.0
29,Guernsey County Ohio,38287,2144.0719999999997,8461.427000000001,7772.2609999999995,19105.213,36525.798,650.879,153.14800000000002,191.435,,804.0269999999999,497.731,36104.641,2773,382.87,19041,71.9,126500,1072,425,731,26.0,16136,2.36,33539.412,1646.3410000000001,33615.986000000004,30093.582,32888.533,5666.476,4977.31,4020.135,21210.998,19411.509000000002,13621,22.6,48434,26716,5819.624,819,13504,519565,73.6,522.25,0.0
30,Hamilton County Ohio,826139,52046.757000000005,190011.97,133008.37900000002,424635.446,555991.5469999999,219752.97400000002,2478.417,24784.17,826.1390000000001,22305.753000000004,32219.421000000002,531207.377,39032,48742.20100000001,380401,58.7,172800,1460,604,875,1922.0,345878,2.34,696435.177,61134.28600000001,765830.853,730306.876,759221.741,327151.044,72700.232,55351.312999999995,551034.713,519641.43100000004,16293,23.4,63080,38902,129703.82299999999,20772,493248,30753058,2048.9,405.41,0.0
31,Hancock County Ohio,74656,4255.392,16349.663999999999,13512.736,37402.656,69504.73599999999,1642.432,298.624,1642.432,,1493.12,4628.6720000000005,65547.968,4554,2538.304,33908,69.6,157300,1225,480,792,121.0,31164,2.35,64353.472,3882.112,69952.672,65697.28,69728.704,20903.68,5748.512000000001,5972.48,48451.744000000006,44494.976,16376,18.0,60828,34532,7465.6,1652,44318,2240851,141.0,531.33,1.0
32,Hardin County Ohio,30621,1867.8809999999999,7195.935,4960.602,15310.5,29334.917999999998,336.8310000000001,91.863,275.589,30.621000000000002,551.178,673.6620000000001,28814.360999999997,1707,643.041,12904,71.6,114600,1106,408,710,24.0,11557,2.46,25997.229000000003,2143.47,27497.658,25201.083,27712.005,5021.844,3184.5840000000003,3245.8259999999996,18097.011000000002,16596.582000000002,7035,22.9,52112,25057,5174.949,426,6693,230333,65.3,470.29,0.0
33,Harrison County Ohio,14477,723.85,3040.17,3199.417,7252.977000000001,13796.580999999998,304.017,43.431,43.431,,289.54,188.20100000000002,13651.810999999998,974,101.339,7378,77.3,101600,962,398,608,,5748,2.5,13521.518,579.08,12059.340999999999,11335.490999999998,12797.668,1766.194,1910.964,1447.7,7339.839,6355.402999999999,5731,30.4,51993,27455,2041.2569999999998,260,2904,126688,36.0,402.33,0.0
34,Henry County Ohio,27538,1597.204,6388.816,5342.371999999999,13796.538,26656.784,220.304,137.69,165.22799999999998,,357.994,2175.502,24674.048,2045,385.532,12063,78.3,138100,1141,481,785,19.0,11040,2.46,25004.504,1156.596,25252.346,24095.75,25775.568,4874.226,2726.262,2285.6540000000005,17569.244,16385.11,9224,22.7,64513,31671,2450.882,558,8089,371113,66.5,416.01,0.0
